118806.5;01/02/20;40702810000000000612     ;158363.2;263359.2;
        ;02/02/20;40702810000000000612     ;0       ;0       ;
        ;03/02/20;40702810000000000612     ;0       ;0       ;
        ;04/02/20;40702810000000000612     ;221034.9;146478.3;
        ;05/02/20;40702810000000000612     ;127914.2;301644.6;
        ;06/02/20;40702810000000000612     ;325184  ;292285.5;
        ;07/02/20;40702810000000000612     ;289942.0;267462.5;
        ;08/02/20;40702810000000000612     ;267628.1;255134.0;
        ;09/02/20;40702810000000000612     ;0       ;0       ;
        ;10/02/20;40702810000000000612     ;0       ;0       ;
        ;11/02/20;40702810000000000612     ;257931.0;96335.1 ;
        ;12/02/20;40702810000000000612     ;93500   ;212129.6;
        ;13/02/20;40702810000000000612     ;213813.2;121350  ;
        ;14/02/20;40702810000000000612     ;779661.6;1141231.; 
        ;15/02/20;40702810000000000612     ;502399.7;453849.9;
        ;16/02/20;40702810000000000612     ;0       ;0       ;
        ;17/02/20;40702810000000000612     ;0       ;0       ;
        ;18/02/20;40702810000000000612     ;478546  ;267172.5;
        ;19/02/20;40702810000000000612     ;216037.3;98092   ;
        ;20/02/20;40702810000000000612     ;154903.6;313435.6;
        ;21/02/20;40702810000000000612     ;261812.6;125571.4;
        ;22/02/20;40702810000000000612     ;119474  ;384489.8;
        ;23/02/20;40702810000000000612     ;0       ;0       ;
        ;24/02/20;40702810000000000612     ;0       ;0       ;
        ;25/02/20;40702810000000000612     ;0       ;0       ;
        ;26/02/20;40702810000000000612     ;0       ;0       ;
        ;27/02/20;40702810000000000612     ;0       ;0       ;
        ;28/02/20;40702810000000000612     ;0       ;0       ;
9277840.;01/02/20;40702810000000001763     ;460851.6;0       ;
        ;02/02/20;40702810000000001763     ;0       ;0       ;
        ;03/02/20;40702810000000001763     ;0       ;0       ;
        ;04/02/20;40702810000000001763     ;456750  ;5308631.;
        ;05/02/20;40702810000000001763     ;1863764.;0       ;
        ;06/02/20;40702810000000001763     ;456750  ;0       ;
        ;07/02/20;40702810000000001763     ;503695.7;0       ;
        ;08/02/20;40702810000000001763     ;253750  ;0       ;
        ;09/02/20;40702810000000001763     ;0       ;0       ;
        ;10/02/20;40702810000000001763     ;0       ;0       ;
